feature,mean_importance,mean_rank,n_windows,avg_rank
market_return,880354.5583059251,1.0,10,1.0
market_close,731356.7562652795,2.2,10,2.2
vol20,521517.63074251264,2.8,10,2.8
beta,137440.78449151674,4.3,10,4.3
BB_width_20,111907.52261923466,5.5,10,5.5
Volume_SMA_20,87420.82628169039,7.2,10,7.2
daily_return,89260.66486200894,7.7,10,7.7
Volume_Ratio_20,81588.45126689726,9.0,10,9.0
Close_to_SMA_5,85780.63099111183,9.0,10,9.0
ATR_14,78840.52555528135,10.0,10,10.0
Volume_SMA_5,78076.31332321283,10.3,10,10.3
Close_to_SMA_60,74650.9935670346,11.1,10,11.1
OBV,74164.39802163243,11.5,10,11.5
Volume_Ratio_5,65137.41753922368,13.6,10,13.6
ROC_5,52543.04261954352,16.2,10,16.2
ROC_20,50760.289180849635,17.2,10,17.2
MACD_hist,48476.82411683655,18.2,10,18.2
KD_K,47632.580252760745,18.4,10,18.4
KD_D,47588.98074647449,19.2,10,19.2
Williams_R_28,46928.996476005574,19.2,10,19.2
MACD_signal,46011.24945852842,20.6,10,20.6
ROC_10,44345.26607356071,22.3,10,22.3
CCI_14,43170.954937639835,23.5,10,23.5
Close_to_SMA_10,41405.62204948019,24.1,10,24.1
Momentum_5,40998.05516399145,25.4,10,25.4
Williams_R_14,39996.00965110641,25.8,10,25.8
Close_to_VWAP_20,38529.63705136776,27.7,10,27.7
Momentum_20,38509.847121715546,27.8,10,27.8
MACD_line,36904.72045020347,28.8,10,28.8
CCI_20,37127.24934354196,29.1,10,29.1
Momentum_10,35957.35660912991,30.5,10,30.5
RSI_14,35506.21648713686,30.7,10,30.7
RSI_6,33034.938104030894,32.5,10,32.5
Close_to_SMA_20,30168.97264540599,33.6,10,33.6
BB_pct_20,30291.031289846265,34.0,10,34.0
SMA_60,21014.510320708498,36.4,10,36.4
BB_lower_20,21130.054487895966,36.6,10,36.6
EMA_60,16834.040499641,38.4,10,38.4
BB_upper_20,16335.849076902867,38.8,10,38.8
SMA_5,13308.944611203671,39.8,10,39.8
VWAP_20,11207.937654924393,41.4,10,41.4
SMA_20,9913.673998954891,42.4,10,42.4
EMA_5,9886.75218296349,42.4,10,42.4
SMA_10,9003.076554456353,43.8,10,43.8
EMA_20,7433.3688695907595,45.1,10,45.1
EMA_10,6661.433775046467,45.9,10,45.9
